Runs,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date
62,78,5,0,79.48,4,caught,1,ODI , West Indies,Delhi,11-Oct-14
127,114,13,3,111.4,3,run out,1,ODI , West Indies,Dharamsala,17-Oct-14
22,21,2,0,104.76,4,caught,1,ODI , Sri Lanka,Cuttack,02-Nov-14
49,44,2,2,111.36,4,caught,2,ODI , Sri Lanka,Ahmedabad,06-Nov-14
53,61,4,1,86.88,4,caught,2,ODI , Sri Lanka,Hyderabad,09-Nov-14
66,64,6,0,103.12,4,run out,1,ODI , Sri Lanka,Eden Gardens,13-Nov-14
139,126,12,3,110.31,4,not out,2,ODI , Sri Lanka,Ranchi,16-Nov-14
115,184,12,0,62.5,4,caught,2,Test , Australia,Adelaide,09-Dec-14
141,175,16,1,80.57,4,caught,4,Test , Australia,Adelaide,09-Dec-14
19,27,1,0,70.37,4,caught,1,Test , Australia,Brisbane,17-Dec-14
1,11,0,0,9.09,4,bowled,3,Test , Australia,Brisbane,17-Dec-14
169,272,18,0,62.13,4,caught,2,Test , Australia,Melbourne,26-Dec-14
54,99,7,0,54.54,4,caught,4,Test , Australia,Melbourne,26-Dec-14
147,230,20,0,63.91,4,caught,2,Test , Australia,Sydney,06-Jan-15
46,95,3,0,48.42,4,caught,4,Test , Australia,Sydney,06-Jan-15
9,16,0,0,56.25,4,caught,1,ODI , Australia,Melbourne,18-Jan-15
4,8,0,0,50,4,caught,1,ODI , England,Brisbane,20-Jan-15
3,9,0,0,33.33,4,not out,1,ODI , Australia,Sydney,26-Jan-15
8,19,0,0,42.1,3,caught,1,ODI , England,W.A.C.A,30-Jan-15
107,126,8,0,84.92,3,caught,1,ODI , Pakistan,Adelaide,15-Feb-15
46,60,3,0,76.66,3,caught,1,ODI , South Africa,Melbourne,22-Feb-15
33,41,5,0,80.48,3,not out,2,ODI , U.A.E.,W.A.C.A,28-Feb-15
33,36,5,0,91.66,3,caught,2,ODI , West Indies,W.A.C.A,06-Mar-15
44,42,4,1,104.76,3,not out,2,ODI , Ireland,Hamilton,10-Mar-15
38,48,4,0,79.16,3,bowled,2,ODI , Zimbabwe,Auckland,14-Mar-15
3,8,0,0,37.5,3,caught,1,ODI , Bangladesh,Melbourne,19-Mar-15
